watershed_id,mean_elevation,mean_slope,mean_aspect,mean_plan_curvature,mean_profile_curvature,mean_twi,mean_spi,mean_tri,mean_distance_to_river,mean_rainfall_mean,mean_lulc,mean_soil_clay
100,334.9045104980469,3.3594937324523926,204.9476776123047,0.00011062713019782677,-0.00011075001384597272,8.290276527404785,258.6630554199219,0.6379062533378601,618.2158203125,1039.66064453125,28.17771339416504,204.2060546875
101,473.44183349609375,7.800326347351074,190.0426025390625,0.00018412004283163697,-0.00018295497284270823,7.134273529052734,291.79510498046875,1.3895392417907715,955.2223510742188,1155.36669921875,16.274837493896484,210.86744689941406
102,518.39892578125,8.83595085144043,167.4720916748047,0.00014174262469168752,-0.00013642251724377275,7.4342451095581055,923.0877685546875,1.3874266147613525,1060.21044921875,1339.0382080078125,20.917203903198242,187.3019561767578
103,460.64752197265625,6.291772842407227,130.87303161621094,0.00011238959268666804,-0.00010742785525508225,8.468399047851562,472.7679443359375,0.9936771988868713,960.1351318359375,1732.816650390625,28.60802459716797,163.48594665527344
104,620.1488647460938,11.2680082321167,179.67454528808594,0.00016065253294073045,-0.00015538166917394847,6.766320705413818,1320.46484375,1.4120831489562988,856.3741455078125,2043.882080078125,17.00262451171875,206.1477508544922
105,1110.2744140625,22.462778091430664,193.96766662597656,0.00016950776625890285,-0.0001667281612753868,5.949989318847656,1594.22314453125,2.287554979324341,856.349365234375,2131.299072265625,15.094128608703613,206.6609344482422
106,1309.5401611328125,28.525508880615234,174.26663208007812,0.00013534602476283908,-0.00012543235789053142,5.825140476226807,30798.923828125,2.4344534873962402,950.1495971679688,1912.5316162109375,17.057344436645508,198.5717010498047
107,2373.531982421875,32.397701263427734,172.67654418945312,5.0879662012448534e-05,-3.3408217859687284e-05,5.5368971824646,3472.813720703125,2.59416127204895,1129.7271728515625,1651.37109375,17.57101821899414,204.07705688476562
108,2709.044677734375,31.786272048950195,182.90481567382812,7.15872083674185e-05,-7.516398909501731e-05,5.643548011779785,3979.479248046875,2.4169399738311768,985.2350463867188,1472.5350341796875,19.147737503051758,208.222900390625
109,2914.655029296875,33.00877380371094,198.81788635253906,5.582719313679263e-05,-5.5257500207517296e-05,5.717373371124268,7598.48583984375,2.1883397102355957,1120.216552734375,1271.1248779296875,27.97663688659668,213.198486328125
110,3047.9130859375,36.42748260498047,182.83309936523438,4.771709063788876e-05,-4.794587584910914e-05,5.631079196929932,143848.78125,2.3882029056549072,1009.4276733398438,1154.044677734375,29.25373649597168,220.16708374023438
111,3845.41650390625,34.52787399291992,202.07749938964844,4.4693751988234e-05,-4.559577064355835e-05,5.726557731628418,6727.2392578125,2.36775279045105,1273.6507568359375,,46.26325607299805,
112,4289.04248046875,31.625713348388672,194.90438842773438,8.982972212834284e-05,-9.770441829459742e-05,5.904263019561768,8577.453125,2.1532199382781982,1239.4356689453125,,63.6147346496582,
113,4489.54296875,27.440349578857422,187.8131561279297,8.349536074092612e-05,-9.414848318556324e-05,6.143245220184326,2973.174072265625,1.7093502283096313,1242.201416015625,,68.11936950683594,
114,1904.2154541015625,8.5435209274292,71.01939392089844,0.00227261777035892,0.0014856666093692183,10.868982315063477,678.091064453125,10.538601875305176,1132.726806640625,,66.68647766113281,
115,230.1567840576172,0.8588343262672424,177.85281372070312,8.091222116490826e-05,1.617251655261498e-05,9.667094230651855,283.7521057128906,0.39145275950431824,775.6022338867188,,39.045005798339844,
116,244.3114776611328,0.6137636303901672,185.39947509765625,3.0556599085684866e-05,-3.0568971851607785e-05,9.699297904968262,99.93484497070312,0.15689818561077118,757.0031127929688,740.5100708007812,39.25242233276367,195.23367309570312
117,251.5873260498047,0.7880271673202515,186.76988220214844,3.34979486069642e-05,-3.352401836309582e-05,9.485700607299805,229.2767333984375,0.2022089660167694,717.1869506835938,745.3567504882812,36.845882415771484,189.98867797851562
118,258.3037109375,0.5882242918014526,187.14100646972656,3.013645255123265e-05,-3.0225020964280702e-05,9.683013916015625,130.7665252685547,0.15568050742149353,719.6122436523438,742.6260375976562,39.599952697753906,189.57608032226562
119,262.80267333984375,0.7858995795249939,187.97476196289062,3.90097702620551e-05,-3.894561086781323e-05,9.540918350219727,86.80701446533203,0.19811929762363434,736.7732543945312,805.5921630859375,39.102256774902344,198.4920654296875
120,251.92459106445312,0.8012072443962097,183.82760620117188,4.136419374844991e-05,-4.160229582339525e-05,9.510632514953613,96.07929992675781,0.19097869098186493,741.1520385742188,874.9228515625,38.6153564453125,201.19207763671875
121,270.65704345703125,1.2394074201583862,193.99461364746094,5.029677049606107e-05,-5.076044544694014e-05,9.201079368591309,239.1698455810547,0.25525200366973877,658.2425537109375,940.6014404296875,36.207489013671875,202.98773193359375
122,404.7517395019531,5.530773639678955,189.19761657714844,0.00011464196722954512,-0.00011246094800299034,7.711660861968994,202.92295837402344,0.9237067103385925,956.5065307617188,1032.8531494140625,22.45823097229004,212.9434051513672
123,440.7472839355469,7.401970386505127,174.4701690673828,0.0001445066009182483,-0.00014477108197752386,7.441547393798828,619.9868774414062,1.2548588514328003,851.8016357421875,1141.1650390625,21.262556076049805,213.59384155273438
124,606.2545166015625,9.74150276184082,185.094482421875,0.00010550149454502389,-9.91857232293114e-05,6.922128200531006,667.4508666992188,1.4863576889038086,935.2191772460938,1275.5740966796875,15.952322959899902,210.24099731445312
125,585.9227294921875,8.510998725891113,139.26712036132812,8.654686098452657e-05,-8.5660838522017e-05,7.723427772521973,1869.820068359375,1.1485449075698853,908.5672607421875,1494.7369384765625,22.167261123657227,179.8234405517578
126,588.6686401367188,11.067965507507324,165.44651794433594,0.0001613647909834981,-0.00015776920190546662,7.092453479766846,4683.958984375,1.3657797574996948,862.1364135742188,2593.517333984375,17.939964294433594,192.60423278808594
127,1130.94921875,20.000476837158203,193.39877319335938,0.00015372849884442985,-0.00015340428217314184,6.169098854064941,2154.4365234375,1.9915263652801514,784.9551391601562,3105.387939453125,15.39333438873291,206.16065979003906
128,2223.440185546875,33.17203140258789,184.49459838867188,6.614338053623214e-05,-6.304118141997606e-05,5.500220775604248,12129.7158203125,2.5699093341827393,1068.72412109375,2956.857177734375,17.479204177856445,205.4580841064453
129,1846.2574462890625,31.005918502807617,186.48617553710938,8.571429498260841e-05,-7.239665137603879e-05,5.6291422843933105,7835.3916015625,2.4505534172058105,1057.440673828125,2252.68701171875,17.777462005615234,203.95388793945312
130,2087.407958984375,31.889217376708984,187.5773162841797,7.440894114552066e-05,-6.898816354805604e-05,5.7664337158203125,21420.439453125,2.151400327682495,1025.347412109375,1738.7012939453125,19.290477752685547,203.76565551757812
131,3319.339599609375,31.76976776123047,186.19346618652344,3.883448880515061e-05,-4.368566078483127e-05,5.8232526779174805,3063.0771484375,2.0573267936706543,1113.60107421875,1328.167236328125,37.57149887084961,209.94436645507812
